panel,scenario_id,K,sigma,rho,regime,metric,value,theoretical_value,mcse
A/B,S2-089,24.0,0.01,0.5,all_equal,oracle_optimism_mean,0.0136977134989915,0.0252113221801156,7.832691799993769e-05
A/B,S2-089,24.0,0.01,0.5,all_equal,regret_mean,0.0,,0.0
A/B,S2-089,24.0,0.01,0.5,all_equal,p_select_best,1.0,,1.0
A/B,S2-089,24.0,0.01,0.5,all_equal,reporting_bias_mean,-0.0001274404728198,,9.872383220772624e-05
A/B,S2-089,24.0,0.01,0.5,all_equal,winner_instability,0.9547,,0.9547
A/B,S2-089,24.0,0.01,0.5,all_equal,one_se_regret_mean,0.0,,
A/B,S2-089,24.0,0.01,0.5,all_equal,oracle_bound_ratio,0.5433159515051151,,0.5433159515051151
A/B,S2-093,24.0,0.01,0.9,all_equal,oracle_optimism_mean,0.0061295173382884,0.0252113221801156,9.654519806401834e-05
A/B,S2-093,24.0,0.01,0.9,all_equal,regret_mean,0.0,,0.0
A/B,S2-093,24.0,0.01,0.9,all_equal,p_select_best,1.0,,1.0
A/B,S2-093,24.0,0.01,0.9,all_equal,reporting_bias_mean,-6.805862367247863e-05,,0.0001004915794188
A/B,S2-093,24.0,0.01,0.9,all_equal,winner_instability,0.9542,,0.9542
A/B,S2-093,24.0,0.01,0.9,all_equal,one_se_regret_mean,0.0,,
A/B,S2-093,24.0,0.01,0.9,all_equal,oracle_bound_ratio,0.2431255804236561,,0.2431255804236561
A/B,S2-097,24.0,0.03,0.0,all_equal,oracle_optimism_mean,0.0586112999432694,0.0756339665403468,0.0001546466441512
A/B,S2-097,24.0,0.03,0.0,all_equal,regret_mean,0.0,,0.0
A/B,S2-097,24.0,0.03,0.0,all_equal,p_select_best,1.0,,1.0
A/B,S2-097,24.0,0.03,0.0,all_equal,reporting_bias_mean,0.0005870773174786,,0.0002965397109699
A/B,S2-097,24.0,0.03,0.0,all_equal,winner_instability,0.956,,0.956
A/B,S2-097,24.0,0.03,0.0,all_equal,one_se_regret_mean,0.0,,
