simulation,scenario_id,replicate,parameter_json,selection_rule_or_encoder,metric,value,theoretical_value,mcse,tolerance,criterion_id,criterion_pass,status,seed,notes
sim2,S2-013,10000,"{""K"": 3, ""sigma"": 0.01, ""rho"": 0.0, ""regime"": ""all_equal""}",panel,regret_mean,0.0,,0.0,0.0001,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1013,
sim2,S2-013,10000,"{""K"": 3, ""sigma"": 0.01, ""rho"": 0.0, ""regime"": ""all_equal""}",panel,p_select_best,1.0,,1.0,3.0,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1013,
sim2,S2-013,10000,"{""K"": 3, ""sigma"": 0.01, ""rho"": 0.0, ""regime"": ""all_equal""}",panel,reporting_bias_mean,-4.8317944967749136e-05,,9.941638567917424e-05,0.00029824915703752274,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1013,
sim2,S2-013,10000,"{""K"": 3, ""sigma"": 0.01, ""rho"": 0.0, ""regime"": ""all_equal""}",panel,winner_instability,0.6628000000000001,,0.6628000000000001,1.9884000000000002,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1013,
sim2,S2-013,10000,"{""K"": 3, ""sigma"": 0.01, ""rho"": 0.0, ""regime"": ""all_equal""}",panel,one_se_regret_mean,0.0,,,,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1013,
sim2,S2-013,10000,"{""K"": 3, ""sigma"": 0.01, ""rho"": 0.0, ""regime"": ""all_equal""}",panel,oracle_bound_ratio,0.5730899559248486,,0.5730899559248486,1.7192698677745457,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1013,
sim2,S2-014,10000,"{""K"": 3, ""sigma"": 0.01, ""rho"": 0.0, ""regime"": ""best=0.002""}",panel,oracle_optimism_mean,0.007155052777919558,0.014823038073675113,7.46342207681855e-05,0.00022390266230455652,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1014,
sim2,S2-014,10000,"{""K"": 3, ""sigma"": 0.01, ""rho"": 0.0, ""regime"": ""best=0.002""}",panel,regret_mean,0.0012178,,9.76042225440367e-06,0.0001,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1014,
sim2,S2-014,10000,"{""K"": 3, ""sigma"": 0.01, ""rho"": 0.0, ""regime"": ""best=0.002""}",panel,p_select_best,0.3911,,0.3911,1.1733,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1014,
sim2,S2-014,10000,"{""K"": 3, ""sigma"": 0.01, ""rho"": 0.0, ""regime"": ""best=0.002""}",panel,reporting_bias_mean,5.842631554028446e-05,,9.998921330922455e-05,0.0002999676399276737,C1_honest_unbiased;C2_oracle_within_bound;C3_regret_within_bound,True,SUCCESS,1014,
